2017-10-31T17:57:41.078+0530 I NETWORK  [conn25] received client metadata from 127.0.0.1:56752 conn25: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows 2012ServerR2", architecture: "AMD64", version: "6.3.9600-" }, platform: "CPython 2.7.13.final.0" }
2017-10-31T17:57:41.079+0530 I -        [conn25] end connection 127.0.0.1:56752 (4 connections now open)
2017-10-31T17:57:41.079+0530 I -        [conn24] end connection 127.0.0.1:56751 (3 connections now open)
2017-10-31T18:13:54.454+0530 I -        [conn23] end connection 127.0.0.1:56747 (2 connections now open)
2017-10-31T18:13:58.529+0530 I NETWORK  [thread1] connection accepted from 127.0.0.1:56984 #26 (2 connections now open)
2017-10-31T18:13:58.529+0530 I NETWORK  [conn26] received client metadata from 127.0.0.1:56984 conn26: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows 2012ServerR2", architecture: "AMD64", version: "6.3.9600-" }, platform: "CPython 2.7.13.final.0" }
2017-10-31T18:13:58.540+0530 I NETWORK  [thread1] connection accepted from 127.0.0.1:56988 #27 (3 connections now open)
2017-10-31T18:13:58.541+0530 I NETWORK  [conn27] received client metadata from 127.0.0.1:56988 conn27: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows 2012ServerR2", architecture: "AMD64", version: "6.3.9600-" }, platform: "CPython 2.7.13.final.0" }
2017-10-31T18:13:58.543+0530 I NETWORK  [thread1] connection accepted from 127.0.0.1:56989 #28 (4 connections now open)
2017-10-31T18:13:58.543+0530 I NETWORK  [conn28] received client metadata from 127.0.0.1:56989 conn28: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows 2012ServerR2", architecture: "AMD64", version: "6.3.9600-" }, platform: "CPython 2.7.13.final.0" }
2017-10-31T18:13:58.544+0530 I -        [conn28] end connection 127.0.0.1:56989 (4 connections now open)
